Lat GPS (deg),Long GPS (deg),Accelerometer Y (rad/s^2),Gyroscope X (rad/s),Gyroscope Z (rad/s),Steering Angle encoder(rad),Speed GPS (m/s),Time (ms),Time,flag,zero,zero,State Estimate X (m),State Estimate Y (m),State Estimate Psi (rad),State Estimate Roll (rad),State Estimate Rollrate (rad/s),State Estimate Delta (rad),State Estimate Velocity (m/s),Steerrate input (rad/s),Rollref,Closestpoint,Error1,Error2
0.0000000000,0.0000000000,-0.381786,-0.005654,-0.019448,-0.005959,1,3494329,0,0,0,0,1331914.657159,6414572.179863,2.298931,-0.008939,-0.00267,-0.006008,1,0,0.007936,1,0.04813,0.932864
0.0000000000,0.0000000000,-0.375801,-0.003821,-0.018227,-0.005959,1,3494338,0,0,0,0,1331914.650523,6414572.187344,2.298879,-0.009832,-0.005813,-0.00601,1,0,0.007938,1,0.056148,0.932812
1.0068407538,0.2090582082,-0.434446,0.002745,-0.018074,-0.005959,1,3494348,0,390,0,0,1331911.701099,6414578.549982,0.308576,-0.010248,-0.003903,-0.006005,1.036757,0,-0.019198,16,-2.034497,-1.990612
1.0068407538,0.2090582082,-0.406919,0.001066,-0.020365,-0.005959,1,3494378,0,390,0,0,1331911.720865,6414578.556229,0.308473,-0.011174,0.000932,-0.006013,1.035492,0,-0.01916,16,-2.053405,-1.990715
1.0068407538,0.2090582082,-3.857351,-0.004432,-0.037316,-0.005959,1,3494388,0,390,0,0,1331911.730739,6414578.559348,0.308421,-0.027229,-0.007459,-0.006038,1.034876,0,-0.019142,16,-2.06285,-1.990766
1.0068407538,0.2090582082,-4.987149,-0.105989,-0.14437,-0.005928,1,3494438,0,390,0,0,1331911.750470,6414578.565578,0.308314,-0.069837,-0.108924,-0.006426,1.033675,0,-0.019124,16,-2.072289,-1.990818
1.0068407538,0.2090582082,3.398969,-0.070558,0.018883,-0.005887,1,3494468,0,390,0,0,1331911.780025,6414578.574909,0.308162,0.021702,-0.070208,-0.005875,1.031952,0,-0.019073,16,-2.100571,-1.990977
1.0068407538,0.2090582082,2.887927,-0.064908,-0.058849,-0.005769,1,3494478,0,390,0,0,1331911.789866,6414578.578015,0.308112,0.031633,-0.062903,-0.006108,1.031397,0,-0.019057,16,-2.109988,-1.991025
1.0068407538,0.2090582082,-0.664235,0.031914,-0.050908,-0.005389,1,3494508,0,390,0,0,1331911.809533,6414578.584220,0.308009,0.02732,0.031646,-0.005542,1.030316,0,-0.019026,16,-2.128805,-1.991128
1.0068407538,0.2090582082,-2.144701,0.042146,0.010789,-0.005301,1,3494518,0,390,0,0,1331911.819358,6414578.587321,0.307962,0.01579,0.039888,-0.005303,1.02979,0,-0.01901,16,-2.138207,-1.991178
