Lat GPS (deg),Long GPS (deg),Accelerometer Y (rad/s^2),Gyroscope X (rad/s),Gyroscope Z (rad/s),Steering Angle encoder(rad),Speed GPS (m/s),Time (ms),Time,flag,zero,zero,State Estimate X (m),State Estimate Y (m),State Estimate Psi (rad),State Estimate Roll (rad),State Estimate Rollrate (rad/s),State Estimate Delta (rad),State Estimate Velocity (m/s),Steerrate input (rad/s),Rollref,Closestpoint,Error1,Error2
0.0000000000,0.0000000000,-0.28963,-0.005349,-0.009369,0.001455,1,2983836,0,0,0,0,1331914.657041,6414572.179758,2.299237,-0.004113,-0.002661,0.001558,1,0,0.007938,1,0.048224,0.93317
0.0000000000,0.0000000000,-0.28963,-0.005349,-0.009369,0.001455,1,2983845,0,0,0,0,1331914.650379,6414572.187216,2.29925,-0.005133,-0.005531,0.001418,1,0,0.007941,1,0.056263,0.933184
0.0000000000,0.0000000000,-0.314764,0.000455,-0.004635,0.001455,1,2983885,0,0,0,0,1331914.637055,6414572.202132,2.299275,-0.006159,0.000325,0.001436,1,0,0.007945,1,0.064302,0.933196
0.0000000000,0.0000000000,-0.213034,0.00244,-0.005551,0.001455,1,2983906,0,0,0,0,1331914.623732,6414572.217047,2.299299,-0.006403,0.002395,0.001431,1,0,0.007951,1,0.08038,0.93322
0.0000000000,0.0000000000,-0.187901,0.013894,0.002543,0.001455,1,2983935,0,0,0,0,1331914.610407,6414572.231962,2.299324,-0.005649,0.013853,0.00146,1,0,0.007958,1,0.096458,0.933245
0.0000000000,0.0000000000,-0.311173,0.020613,0.00743,0.001455,1,2983966,0,0,0,0,1331914.597082,6414572.246877,2.299349,-0.006235,0.020474,0.00148,1,0,0.007964,1,0.112536,0.93327
0.0000000000,0.0000000000,-0.248939,0.024889,-0.005857,0.00146,1,2983976,0,0,0,0,1331914.590420,6414572.254334,2.299362,-0.006085,0.024859,0.001436,1,0,0.007968,1,0.120576,0.933283
0.0000000000,0.0000000000,-0.25971,0.027638,-0.003871,0.00146,1,2984006,0,0,0,0,1331914.577095,6414572.269249,2.299387,-0.006264,0.027548,0.001443,1,0,0.007974,1,0.136655,0.933308
0.0000000000,0.0000000000,-0.345881,0.017559,-0.026015,0.00146,1,2984015,0,0,0,0,1331914.570432,6414572.276706,2.299399,-0.007561,0.017292,0.001363,1,0,0.007977,1,0.144694,0.93332
0.0000000000,0.0000000000,0.056251,0.03955,0.000557,0.00146,1,2984056,0,0,0,0,1331914.557106,6414572.291620,2.299423,-0.003489,0.039683,0.001456,1,0,0.007984,1,0.160774,0.933344
0.0000000000,0.0000000000,-0.213034,0.03054,-0.010438,0.00146,1,2984086,0,0,0,0,1331914.543780,6414572.306533,2.299448,-0.004492,0.030452,0.001419,1,0,0.007991,1,0.176853,0.933369
0.0000000000,0.0000000000,-0.21064,0.032372,-0.010896,0.00146,1,2984136,0,0,0,0,1331914.530454,6414572.321447,2.299472,-0.004585,0.032287,0.001417,1,0,-0.007614,2,-0.160834,0.933393
0.0000000000,0.0000000000,-0.238167,0.02718,-0.017005,0.00146,1,2984166,0,0,0,0,1331914.517127,6414572.336360,2.299496,-0.005379,0.02709,0.001395,1,0,-0.017822,2,-0.144754,0.933418
0.0000000000,0.0000000000,-1.549882,-0.036197,-0.044036,0.00146,1,2984176,0,0,0,0,1331914.510463,6414572.343816,2.299508,-0.016098,-0.038053,0.001309,1,0,-0.021026,2,-0.136714,0.93343
1.0068368472,0.2090620741,6.878125,-0.055745,-0.001275,0.001512,1,2984196,0,0,0,0,1331914.497137,6414572.358729,2.299531,0.041995,-0.050387,0.001433,1,0,-0.027188,2,-0.120634,0.933453
1.0068368472,0.2090620741,-6.37546,0.052073,-0.420176,0.001563,1,2984226,0,0,0,0,1331914.483813,6414572.373645,2.299545,-0.012734,0.046471,0.000101,1,0,-0.035904,2,-0.104553,0.933477
1.0068368472,0.2090620741,-1.511584,-0.312156,-0.016241,0.002874,1,2984256,0,0,0,0,1331914.470489,6414572.388560,2.299559,-0.048494,-0.31234,0.002811,1,0,-0.044084,2,-0.088479,0.933479
1.0068368472,0.2090620741,10.14305,0.075133,0.038431,0.003558,1,2984266,0,0,0,0,1331914.463821,6414572.396012,2.299584,0.028174,0.088809,0.003574,1,0,-0.046704,2,-0.080437,0.933493
1.0068368472,0.2090620741,4.635284,0.197611,0.105779,0.004617,1,2984296,0,0,0,0,1331914.450476,6414572.410909,2.299652,0.069827,0.200221,0.004388,1,0,-0.054277,2,-0.064347,0.933548
1.0068368472,0.2090620741,1.619297,-0.065671,0.033544,0.005075,1,2984306,0,0,0,0,1331914.443802,6414572.418356,2.29969,0.050551,-0.068694,0.00472,1,0,-0.056707,2,-0.056299,0.933585
1.0068368472,0.2090620741,-2.056137,-0.080485,-0.050908,0.008062,1,2984336,0,0,0,0,1331914.430450,6414572.433247,2.299772,0.020605,-0.082867,0.005688,1,0,-0.063741,2,-0.0402,0.933663
1.0068368472,0.2090620741,0.533782,0.015115,-0.011202,0.009111,1,2984346,0,0,0,0,1331914.423771,6414572.440689,2.299821,0.027218,0.016203,0.007997,1,0,-0.065998,2,-0.03215,0.933706
1.0068368472,0.2090620741,-0.134044,-0.002294,0.063782,0.011379,1,2984376,0,0,0,0,1331914.410390,6414572.455554,2.299974,0.013055,-0.025801,0.011227,1,0,-0.072526,2,-0.016038,0.933823
1.0068368472,0.2090620741,0.588835,0.003662,0.054161,0.011816,1,2984386,0,0,0,0,1331914.403692,6414572.462980,2.300071,0.016129,0.004201,0.011973,1,0,-0.074617,2,-0.007974,0.933908
1.0068368472,0.2090620741,0.374605,-0.011763,-0.023419,0.012916,1,2984416,0,0,0,0,1331914.390288,6414572.477823,2.30028,0.015408,-0.011972,0.01279,1,0,-0.080653,2,0.008164,0.934107
1.0068368472,0.2090620741,-0.453595,0.020613,-0.047701,0.013204,1,2984426,0,0,0,0,1331914.383582,6414572.485242,2.300389,0.013989,0.020263,0.012998,1,0,-0.082582,2,0.016236,0.934213
1.0068368472,0.2090620741,-0.773146,-0.007792,-0.014256,0.01323,1,2984456,0,0,0,0,1331914.370167,6414572.500076,2.300614,0.00285,-0.008568,0.013146,1,0,-0.084464,2,0.032385,0.934434
1.0068368472,0.2090620741,-0.303992,-0.058799,-0.006162,0.013204,1,2984466,0,0,0,0,1331914.363458,6414572.507491,2.300727,-0.002674,-0.059646,0.013143,1,0,-0.084464,2,0.040461,0.934548
1.0068368472,0.2090620741,-0.077793,-0.042306,-0.041134,0.012782,1,2984496,0,0,0,0,1331914.350038,6414572.522321,2.300951,-0.002417,-0.042324,0.012593,1,0,-0.084464,2,0.056615,0.934774
1.0068368472,0.2090620741,-0.104123,0.000913,-0.001428,0.012412,1,2984506,0,0,0,0,1331914.343328,6414572.529736,2.301059,0.00763,0.063909,0.012595,1,0,-0.084464,2,0.064692,0.934885
1.0068368472,0.2090620741,0.161571,-0.006418,0.012927,0.011363,1,2984536,0,0,0,0,1331914.329908,6414572.544565,2.30127,0.002106,-0.006399,0.011373,1,0,-0.084464,2,0.080847,0.935101
1.0068368472,0.2090620741,-0.479925,-0.009625,-0.022503,0.010345,1,2984566,0,0,0,0,1331914.316491,6414572.559398,2.301463,0.004642,0.053471,0.010329,1,0,-0.084464,2,0.097,0.935301
1.0068368472,0.2090620741,-0.435642,0.02214,-0.01502,0.009497,1,2984585,0,0,0,0,1331914.303079,6414572.574235,2.301635,-0.00153,0.022181,0.009417,1,0,-0.084464,2,0.11315,0.935485
1.0068368472,0.2090620741,0.137634,0.041535,-0.011507,0.009075,1,2984606,0,0,0,0,1331914.289670,6414572.589074,2.301795,0.001778,0.041619,0.009004,1,0,-0.084464,2,0.129297,0.93565
1.0068368472,0.2090620741,-0.424871,0.047644,-0.031208,0.009039,1,2984636,0,0,0,0,1331914.276260,6414572.603912,2.301948,-0.00093,0.047276,0.008902,1,0,-0.084464,2,0.145443,0.935805
1.0068368472,0.2090620741,-0.191491,0.027944,-0.022808,0.009039,1,2984646,0,0,0,0,1331914.269555,6414572.611331,2.302025,-0.002689,0.02759,0.008929,1,0,-0.084464,2,0.153516,0.935882
1.0068368472,0.2090620741,-0.353062,0.046575,-0.023114,0.009039,1,2984676,0,0,0,0,1331914.256142,6414572.626167,2.302178,-0.0031,0.046323,0.00893,1,0,-0.084464,2,0.169664,0.936035
1.0068368472,0.2090620741,0.106517,0.043673,-0.018227,0.009039,1,2984706,0,0,0,0,1331914.242727,6414572.641001,2.302331,-0.000948,0.043798,0.008943,1,0,-0.084464,3,0.002893,0.003067
1.0068368472,0.2090620741,0.542159,0.036954,-0.022808,0.009039,1,2984715,0,0,0,0,1331914.236018,6414572.648417,2.302408,0.001431,0.037345,0.008922,1,0,-0.084464,3,0.002961,0.003144
1.0068368472,0.2090620741,0.216624,0.057876,-0.010744,0.009039,1,2984746,0,0,0,0,1331914.222599,6414572.663247,2.302563,0.007334,0.066633,0.009071,1,0,-0.084464,3,0.003101,0.003297
1.0068368472,0.2090620741,0.216624,0.057876,-0.010744,0.009039,1,2984755,0,0,0,0,1331914.215889,6414572.670661,2.30264,0.007379,0.057794,0.008971,1,0,-0.084464,3,0.003173,0.003375
1.0068368472,0.2090620741,-0.166358,0.061847,0.000863,0.009039,1,2984786,0,0,0,0,1331914.202466,6414572.685488,2.302795,0.005704,0.06156,0.009018,1,0,-0.081854,3,0.003318,0.00353
1.0068368472,0.2090620741,1.130995,0.042604,-0.048159,0.009039,1,2984795,0,0,0,0,1331914.195754,6414572.692901,2.302872,0.009141,0.043208,0.008825,1,0,-0.077186,3,0.003392,0.003607
1.0068368472,0.2090620741,-0.314764,0.063068,0.011858,0.009039,1,2984826,0,0,0,0,1331914.175616,6414572.715137,2.303101,0.007281,0.062735,0.00906,1,0,-0.065347,3,0.003616,0.003837
1.0068368472,0.2090620741,0.070612,0.053447,-0.023724,0.009039,1,2984835,0,0,0,0,1331914.168901,6414572.722548,2.303179,0.006615,0.05324,0.008926,1,0,-0.061982,3,0.003692,0.003913
1.0068368472,0.2090620741,0.436839,0.085823,-0.023724,0.009039,1,2984866,0,0,0,0,1331914.155471,6414572.737368,2.303332,0.012129,0.085937,0.008923,1,0,-0.053213,3,0.003848,0.004068
1.0068368472,0.2090620741,0.160374,0.083532,-0.005857,0.009039,1,2984875,0,0,0,0,1331914.148755,6414572.744777,2.303408,0.012022,0.083367,0.008991,1,0,-0.05066,3,0.003927,0.004144
1.0068368472,0.2090620741,0.05266,0.0339,-0.009675,0.009049,1,2984906,0,0,0,0,1331914.135322,6414572.759594,2.303563,0.007557,0.033779,0.008987,1,0,-0.043888,3,0.004087,0.004298
1.0068368472,0.2090620741,0.311173,0.078187,0.045914,0.009091,1,2984945,0,0,0,0,1331914.121885,6414572.774408,2.303719,0.012389,0.078177,0.009229,1,0,-0.036504,3,0.00425,0.004452
1.0068368472,0.2090620741,-0.18431,0.09743,-0.01731,0.009738,1,2984976,0,0,0,0,1331914.108445,6414572.789220,2.303877,0.01419,0.064888,0.009765,1,0,-0.031917,3,0.004418,0.00461
1.0068368472,0.2090620741,-0.18431,0.09743,-0.01731,0.010129,1,2984985,0,0,0,0,1331914.101722,6414572.796623,2.303961,0.014779,0.097314,0.010041,1,0,-0.030537,3,0.004504,0.00469
1.0068368472,0.2090620741,-0.485909,0.097582,-0.014256,0.011404,1,2985016,0,0,0,0,1331914.088272,6414572.811425,2.304137,0.009255,0.096924,0.011325,1,0,-0.026782,3,0.004683,0.004859
1.0068368472,0.2090620741,1.011313,0.093306,0.06027,0.011744,1,2985025,0,0,0,0,1331914.081543,6414572.818822,2.304234,0.013232,0.093899,0.011918,1,0,-0.025646,3,0.004776,0.00495
1.0068368472,0.2090620741,0.384179,0.10644,0.050954,0.012289,1,2985055,0,0,0,0,1331914.068077,6414572.833610,2.304441,0.016063,0.106418,0.012436,1,0,-0.02254,3,0.004975,0.005149
1.0068368472,0.2090620741,0.62474,0.16997,0.00911,0.012227,1,2985086,0,0,0,0,1331914.054607,6414572.848394,2.304653,0.024294,0.169965,0.012221,1,0,-0.019834,3,0.005184,0.00536
1.0068368472,0.2090620741,2.465449,0.15592,0.04622,0.012227,1,2985116,0,0,0,0,1331914.041134,6414572.863176,2.304861,0.014112,0.053997,0.012078,1,0,-0.017466,3,0.005504,0.005674
1.0068368472,0.2090620741,1.543898,0.147368,-0.012271,0.012212,1,2985155,0,0,0,0,1331914.027659,6414572.877955,2.305071,0.035197,0.147828,0.01212,1,0,-0.014761,3,0.005612,0.005778
1.0068368472,0.2090620741,1.819166,0.067497,0.026825,0.012371,1,2985186,0,0,0,0,1331914.014180,6414572.892731,2.30528,0.038997,0.068268,0.012419,1,0,-0.013016,3,0.005832,0.005987
