0.1236,-0.34706,-1.2287
0.2472,-0.69413,-1.2287
0.3707,-1.0412,-1.2289
0.4943,-1.3883,-1.2287
0.6179,-1.7353,-1.2287
0.7414,-2.0824,-1.2289
0.865,-2.4294,-1.2287
0.9886,-2.7765,-1.2287
1.1121,-3.1236,-1.2289
1.2357,-3.4706,-1.2287
1.3593,-3.8177,-1.2287
1.4828,-4.1648,-1.2289
1.6064,-4.5118,-1.2287
1.73,-4.8589,-1.2287
1.8536,-5.2059,-1.2287
1.9771,-5.553,-1.2289
2.1007,-5.9001,-1.2287
2.2243,-6.2471,-1.2287
2.3478,-6.5942,-1.2289
2.4714,-6.9413,-1.2287
2.595,-7.2883,-1.2287
2.7185,-7.6354,-1.2289
2.8421,-7.9825,-1.2287
2.9657,-8.3295,-1.2287
3.0892,-8.6766,-1.2289
3.2128,-9.0236,-1.2287
3.3364,-9.3707,-1.2287
3.46,-9.7178,-1.2287
3.5835,-10.065,-1.2289
3.7071,-10.412,-1.2287
3.8307,-10.759,-1.2287
3.9542,-11.106,-1.2289
4.0778,-11.453,-1.2287
4.2014,-11.8,-1.2287
4.3249,-12.147,-1.2289
4.4485,-12.494,-1.2287
4.5721,-12.841,-1.2287
4.6956,-13.188,-1.2289
4.8192,-13.535,-1.2287
4.9428,-13.883,-1.2287
5.0663,-14.23,-1.2289
5.1899,-14.577,-1.2287
5.3135,-14.924,-1.2287
5.4371,-15.271,-1.2287
5.5606,-15.618,-1.2289
5.6842,-15.965,-1.2287
5.8078,-16.312,-1.2287
5.9313,-16.659,-1.2289
6.0549,-17.006,-1.2287
6.1785,-17.353,-1.2287
6.302,-17.7,-1.2289
6.4256,-18.047,-1.2287
6.5492,-18.394,-1.2287
6.6727,-18.741,-1.2289
6.7963,-19.088,-1.2287
6.9199,-19.436,-1.2287
7.0435,-19.783,-1.2287
7.167,-20.13,-1.2289
7.2906,-20.477,-1.2287
7.4142,-20.824,-1.2287
7.5377,-21.171,-1.2289
7.6613,-21.518,-1.2287
7.7849,-21.865,-1.2287
