1,0,0,0,0,0,0.01
0,1,0.022,0,0,0.009371867738,0
0,0,1,0,0,0.01887966909,0
0,0,0,1,0.01,0,0
0,0,0,0.17564906,1,0.07339587508,0
0,0,0,0,0,1,0
0,0,0,0,0,0,1
0,0,0,0,0.01785735601,0.01,0
1,0,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,-22.28108326,0,-0.5559587848,0
0,0,0,0,1,0,0
0,0,0,0,0,1.887966909,0
0,0,0,0,0,1,0
0,0,0,0,0,0,1
0,0,-1.267872277,0,0,0,0
0.2226851604,0,0,0,0,0,0.009633547861
0,0.243770968,0,0,3.141861076e-05,0.009312079787,0
0,0.2203357959,0,0,6.329303078e-05,0.01875925569,0
0,0,-6.240233278e-05,0.01000002517,0,-3.447353092e-05,0
0,0,-1.755330765e-05,1.000000004,0.0002460337804,0.07292130804,0
0,0,-8.981971469e-05,0,0.0033524256,0.9936166467,0
6.969070208e-05,0,0,0,0,0,0.8541018662
0,-10,0,0,0,0,0
111,1,500,4000,0.7,190,1.12
1.3,0.35,0.4964,0.5986,1.221730476,0.05477225575,0.3206479091
3.065253572,0.9556809025,0.01,2.205882353,0,3.75,3.5
